library,图书馆,/lˈa‍ɪbɹəɹi/,I like to read in the library.,我喜欢在图书馆读书。,n. 图书馆。librarian n. 图书管理员
left,左边；左转,/lˈɛft/,Turn left at the traffic light.,在红绿灯处左转。,
right,右边；右转,/ɹˈa‍ɪt/,The park is on your right.,公园在你的右边。,
shops,商店,/ʃˈɒps/,There are many shops on this street.,这条街上有很多商店。,
street,街道,/stɹˈiːt/,There is a street near my home.,我家附近有一个街道。,
garden,花园,/ɡˈɑːdən/,There are beautiful flowers in the garden.,花园里有美丽的花。,
supermarket,超市,/sˈuːpəmˌɑːkɪt/,There is a supermarket near my home.,我家附近有一个超市。,
cinema,电影院,/sˈɪnəmə/,There is a cinema near my home.,我家附近有一个电影院。,n. 电影院(英式)。美式 movie theater
theatre,剧院,/θˈi‍ətə/,We watched a play at the theatre.,我们在剧院看了一场戏。,n. 剧院(英式拼写)。美式 theater
information centre,信息中心,/ˌɪnfəmˈe‍ɪʃən sˈɛntə/,Go to the information centre for help.,去信息中心寻求帮助。,
grocery,杂货店,/ɡɹˈə‍ʊsəɹi/,There is a grocery near my home.,我家附近有一个杂货店。,
crossroad,十字路口,/kɹˈɒsɹə‍ʊd/,There is a crossroad near my home.,我家附近有一个十字路口。,n. 十字路口。= crossroads
airport,机场,/ˈe‍əpɔːt/,There is a airport near my home.,我家附近有一个机场。,n. 机场。air + port
stadium,体育场,/stˈe‍ɪdi‍əm/,There is a stadium near my home.,我家附近有一个体育场。,n. 体育场；体育馆
around,在……周围,/ɐɹˈa‍ʊnd/,There are trees all around the park.,公园周围都是树。,
south,南方,/sˈa‍ʊθ/,Hainan is in the south of China.,海南在中国的南方。,
third,第三,/θˈɜːd/,My classroom is on the third floor.,我的教室在三楼。,
go straight,直走,/ɡˌə‍ʊ stɹˈe‍ɪt/,I often go straight with my friends.,我经常和朋友一起直走。,phrase. 直走
ice-skating,滑冰,/ˈa‍ɪsskˈe‍ɪtɪŋ/,We go ice-skating in winter.,我们冬天去滑冰。,
hard,困难的,/hˈɑːd/,This maths problem is very hard.,这道数学题很难。,
fun,有趣的,/fˈʌn/,Playing games is so much fun!,玩游戏太有趣了！,
science room,科学教室,/sˈa‍ɪ‍əns ɹˈuːm/,We do experiments in the science room.,我们在科学教室做实验。,
playground,操场,/plˈe‍ɪɡɹa‍ʊnd/,The children play on the playground.,孩子们在操场上玩耍。,
floor,楼层；地板,/flˈɔː/,My classroom is on the second floor.,我的教室在二楼。,
Tuesday,星期二,/tjˈuːzde‍ɪ/,We have art class on Tuesday.,我们星期二有美术课。,
Wednesday,星期三,/wˈɛnzde‍ɪ/,Wednesday is the middle of the week.,星期三是一周的中间。,
Thursday,星期四,/θˈɜːzde‍ɪ/,We play sports on Thursday.,我们星期四做运动。,
Saturday,星期六,/sˈatədˌe‍ɪ/,I visit my grandparents on Saturday.,我星期六去看望祖父母。,
boring,无聊的,/bˈɔːɹɪŋ/,The movie was really boring.,这部电影真的很无聊。,adj. 无聊的(修饰事物)。bored 感到无聊的(修饰人)
fantastic,极好的,/fantˈastɪk/,The show was fantastic!,这场表演太棒了！,adj. 极好的；了不起的
wonderful,精彩的,/wˈʌndəfə‍l/,What a wonderful day!,多么美好的一天！,"adj. 精彩的；极好的。= great, fantastic"
cartoons,动画片,/kɑːtˈuːnz/,Children love watching cartoons.,孩子们喜欢看动画片。,
draw pictures,画画,/dɹˈɔː pˈɪkt‍ʃəz/,I often draw pictures with my friends.,我经常和朋友一起画画。,
behind,在……后面,/bɪhˈa‍ɪnd/,The cat is hiding behind the door.,猫躲在门后面。,
teacher,老师,/tˈiːt‍ʃə/,Our teacher is very kind.,我们的老师非常和蔼。,
