be interested in,对...感兴趣,/biː ˈɪntɹəstɪd ˈɪn/,You should be interested in what you study.,你应该对自己学的东西感兴趣。,phrase. 对…感兴趣。后接名词或动名词(v-ing)
career,职业,/kəɹˈiə/,She wants a career in science when she leaves school.,她毕业后想从事科学方面的职业。,n. 职业；事业。指长期从事的工作方向，比 job 更正式
extra,额外的,/ˈɛkstɹə/,You have to pay extra if you want a larger room.,如果你想要更大的房间，就得额外付费。,adj./n. 额外的；附加的。pay extra 额外付费
foreign language,外语,/fˈɒɹən lˈaŋɡwɪdʒ/,Learning a foreign language can help you travel more easily.,学习一门外语可以帮助你更轻松地旅行。,n. 外语。foreign adj. 外国的
if,是否,/ˈɪf/,Please tell me if you need any help.,如果你需要帮助，请告诉我。,
a few,几个,/ɐ fjˈuː/,There are a few tickets left for the concert.,音乐会还剩几张票。,
visitor,拜访者,/vˈɪzɪtə/,Every visitor must show a ticket at the gate.,每位游客都必须在门口出示门票。,n. 访客；游客。动词 visit → visitor
download,下载,/dˈaʊnləʊd/,You can download the timetable from the school website.,你可以从学校网站下载时间表。,v./n. 下载。反义词 upload 上传
match,比赛,/mˈatʃ/,The football match starts at three o’clock.,足球比赛三点开始。,n./v. 比赛；匹配。football match 足球比赛
without,没有,/wɪðˈaʊt/,He left the house without his phone.,他没带手机就离开了家。,prep. 没有；不带。反义词 with
contact,联系,/kˈɒntakt/,Please contact me when you arrive at the station.,你到车站后请联系我。,v./n. 联系；联络。contact sb. 联系某人
experience,经验,/ɛkspˈiəɹɪəns/,Working in a shop gave her useful experience.,在商店工作给了她有用的经验。,n./v. 经验；经历。可数(一次经历)或不可数(经验)
at the moment,此时此刻,/at ðə mˈəʊmənt/,I can’t talk at the moment because I’m in class.,我现在不能说话，因为我在上课。,
reason,原因,/ɹˈiːzən/,The main reason I called was to change the meeting time.,我打电话的主要原因是想改会议时间。,n. 原因；理由。the reason for/why...
improve,改善,/ɪmpɹˈuːv/,Reading every day will improve your vocabulary.,每天阅读会提高你的词汇量。,v. 改善；提高。improvement n. 改进
unfortunately,不幸的是,/ʌnfˈɔːtʃənətli/,"Unfortunately, the train was late and we missed the film.",不幸的是，火车晚点了，我们错过了电影。,adv. 不幸地；遗憾地。反义词 fortunately
complete beginner,彻底的初学者,/kəmplˈiːt bɪɡˈɪnə/,This course is suitable for complete beginners.,这门课程适合完全初学者。,
isn’t well,身体不好,/ˌɪzənt wˈɛl/,"Lucy isn’t well, so she stayed at home today.",露西身体不舒服，所以今天待在家里。,
are able to,能够=can,/ɑːɹ ˈeɪbəl tuː/,Students are able to borrow six books from the library.,学生可以从图书馆借六本书。,
soon,快点,/sˈuːn/,Dinner will be ready soon.,晚饭很快就好了。,adv. 不久；很快。as soon as 一…就…
delay,延迟,/dɪlˈeɪ/,Heavy rain caused a delay at the airport.,大雨导致机场延误。,n./v. 延迟；推迟。without delay 立刻
decide,决定,/dɪsˈaɪd/,We must decide where to go before Friday.,我们必须在周五前决定去哪里。,v. 决定。decide to do sth. 决定做某事
arrive,到达,/ɐɹˈaɪv/,What time does the bus arrive in Oxford?,公共汽车几点到达牛津？,v. 到达。arrive at(小地点)/in(大地点)
course=lesson,课程,/kˈɔːs ɔː lˈɛsən/,The cooking course starts next Monday.,烹饪课程下周一开始。,
get a lift,搭便车,/ɡɛt ɐ lˈɪft/,I can get a lift home from my uncle.,我可以搭叔叔的车回家。,phrase. 搭便车。get a lift from sb. 搭某人的车
college,大学,/kˈɒlɪdʒ/,My brother is studying art at college.,我哥哥在大学学艺术。,n. 学院；大学
on the list for the trip,在旅行清单上,/ɒnðə lˈɪst fəðə tɹˈɪp/,Your name is on the list for the trip to London.,你的名字在去伦敦旅行的名单上。,
vocabulary,单词,/vəʊkˈabjʊləɹi/,This book helps students learn new vocabulary.,这本书帮助学生学习新词汇。,n. 词汇；词汇量。不可数名词
by 3 PM,截止三点前,/baɪ θɹˈiː pˌiːˈɛm/,Please send me your answer by 3 PM.,请在下午三点前把你的答案发给我。,
bracelet,手镯,/bɹˈeɪslət/,She wore a silver bracelet on her right arm.,她右手戴着一只银手镯。,n. 手镯；手链
a few spaces left,剩下几个席位,/ɐ fjˈuː spˈeɪsɪz lˈɛft/,There are only a few spaces left on the sailing course.,帆船课程只剩几个名额了。,
earrings,耳环,/ˈiəɹɪŋz/,I bought these earrings at a small market.,我在一个小市场买了这些耳环。,n. 耳环(常用复数)
meeting,会议,/mˈiːtɪŋ/,The meeting finished later than we expected.,会议比我们预想的结束得晚。,
necklace,项链,/nˈɛkləs/,The necklace was a birthday present from her grandmother.,这条项链是她祖母送的生日礼物。,n. 项链
journalist,记者,/dʒˈɜːnəlˌɪst/,The journalist asked the actor about his new film.,记者问了演员关于他新电影的问题。,n. 记者；新闻工作者
take a kite,带着风筝,/tˈeɪk ɐ kˈaɪt/,Don’t forget to take a kite if we go to the park.,如果我们去公园，别忘了带风筝。,phrase. 带上风筝。take sth. 带上某物
possible,可能的,/pˈɒsəbəl/,Is it possible to change my ticket?,可以改我的票吗？,adj. 可能的。反义词 impossible
twice,两次,/twˈaɪs/,I have piano lessons twice a week.,我每周上两次钢琴课。,adv. 两次；两倍。twice a week 每周两次
each person,每个人,/ˈiːtʃ pˈɜːsən/,Each person in the group should bring some water.,小组里的每个人都应该带些水。,
complete,完全的,/kəmplˈiːt/,Please complete the form in black pen.,请用黑色钢笔填完整张表格。,adj./v. 完整的；完成。completely adv. 完全地
discount,打折,/dˈɪskaʊnt/,Students can get a discount at the sports centre.,学生在体育中心可以享受折扣。,n. 折扣。at a discount 打折
volleyball,排球,/vˈɒlɪbˌɔːl/,We played volleyball on the beach all afternoon.,我们整个下午都在沙滩上打排球。,n. 排球
