Canada,加拿大,/kˈanədə/,I want to learn more about Canada.,我想更多地了解加拿大。,
excited,兴奋的,/ɛksˈa‍ɪtɪd/,I'm so excited about the trip!,我对这次旅行非常兴奋！,
winter,冬天,/wˈɪntə/,It snows a lot in winter.,冬天经常下雪。,
Australia,澳大利亚,/ɒstɹˈe‍ɪli‍ə/,I want to learn more about Australia.,我想更多地了解澳大利亚。,
London,伦敦,/lˈʌndən/,I want to learn more about London.,我想更多地了解伦敦。,
Washington D.C.,华盛顿特区,/wˈɒʃɪŋtən dˌiːsˈiː/,Washington D.C. is the capital of the USA.,华盛顿特区是美国的首都。,
Sydney,悉尼,/sˈɪdni/,I want to learn more about Sydney.,我想更多地了解悉尼。,
Toronto,多伦多,/təɹˈɒntə‍ʊ/,I want to learn more about Toronto.,我想更多地了解多伦多。,
tomorrow,明天,/təmˈɒɹə‍ʊ/,We will go to school tomorrow.,我们明天要去学校。,
week,周；星期,/wˈiːk/,There are seven days in a week.,一个星期有七天。,
month,月,/mˈʌnθ/,January is the first month of the year.,一月是一年中的第一个月。,
worried,担心的,/wˈʌɹid/,She is worried about the exam.,她担心考试。,
summer,夏天,/sˈʌmə/,We go swimming in summer.,我们夏天去游泳。,
autumn,秋天,/ˈɔːtʌm/,The leaves turn red in autumn.,秋天树叶变红了。,
rainy,下雨的,/ɹˈe‍ɪni/,The weather is rainy today.,今天天气是下雨的。,
windy,多风的,/wˈɪndi/,The weather is windy today.,今天天气是多风的。,
cloudy,多云的,/klˈa‍ʊdi/,The weather is cloudy today.,今天天气是多云的。,
clothes,衣服,/klˈə‍ʊðz/,Put on warm clothes before going out.,出门前穿上暖和的衣服。,
coat,外套,/kˈə‍ʊt/,"Wear your coat, it's cold outside.",穿上你的外套，外面很冷。,
sweater,毛衣,/swˈɛtə/,This sweater keeps me warm.,这件毛衣让我很暖和。,
jacket,夹克衫,/d‍ʒˈakɪt/,He wore a blue jacket to school.,他穿了一件蓝色夹克去学校。,
food,食物,/fˈuːd/,Chinese food is delicious.,中国食物很美味。,
book,书,/bˈʊk/,I read a book every night.,我每晚都读一本书。,
umbrella,雨伞,/ʌmbɹˈɛlə/,"Take an umbrella, it might rain.",带把伞，可能会下雨。,
father,父亲,/fˈɑːðə/,My father works in a hospital.,我的父亲在医院工作。,
nurse,护士,/nˈɜːs/,The nurse takes care of patients.,护士照顾病人。,
grandfather,祖父；外祖父,/ɡɹˈandfɑːðə/,My grandfather is old but healthy.,我的祖父年纪大了但很健康。,
mother,母亲,/mˈʌðə/,My mother cooks dinner every day.,我的妈妈每天做晚饭。,
cousin,堂/表兄弟姐妹,/kˈʌzən/,My cousin lives in Beijing.,我的表弟住在北京。,
astronaut,宇航员,/ˈastɹənˌɔːt/,The astronaut went to space.,宇航员去了太空。,
saleswoman,女售货员,/sˈe‍ɪlswʊmən/,The saleswoman helped us find a gift.,女售货员帮我们找到了一份礼物。,
play chess,下棋,/plˈe‍ɪ t‍ʃˈɛs/,I often play chess with my friends.,我经常和朋友一起下棋。,
skiing,滑雪,/skˈiːɪŋ/,Skiing is my favourite winter sport.,滑雪是我最喜欢的冬季运动。,
collect stamps,集邮,/kəlˈɛkt stˈamps/,I often collect stamps with my friends.,我经常和朋友一起集邮。,
read books,读书,/ɹˈiːd bˈʊks/,I often read books with my friends.,我经常和朋友一起读书。,
listen to music,听音乐,/lˈɪsən tə mjˈuːzɪk/,I often listen to music with my friends.,我经常和朋友一起听音乐。,
write stories,写故事,/ɹˈa‍ɪt stˈɔːɹiz/,I often write stories with my friends.,我经常和朋友一起写故事。,
jump rope,跳绳,/d‍ʒˈʌmp ɹˈə‍ʊp/,I often jump rope with my friends.,我经常和朋友一起跳绳。,
helpful,有帮助的,/hˈɛlpfə‍l/,She is always helpful to others.,她总是乐于帮助别人。,
polite,有礼貌的,/pəlˈa‍ɪt/,It is polite to say please and thank you.,说请和谢谢是有礼貌的。,
January,一月,/d‍ʒˈanjuːəɹi/,January is the coldest month.,一月是最冷的月份。,
February,二月,/fˈɛbɹuːəɹi/,February has only 28 days.,二月只有28天。,
August,八月,/ˈɔːɡəst/,We have summer vacation in August.,我们八月放暑假。,
September,九月,/sɛptˈɛmbə/,School starts in September.,学校九月开学。,
October,十月,/ɒktˈə‍ʊbə/,October first is National Day.,十月一日是国庆节。,
November,十一月,/nə‍ʊvˈɛmbə/,November is getting cold.,十一月天气开始变冷。,
December,十二月,/dɪsˈɛmbə/,December is the last month of the year.,十二月是一年中的最后一个月。,
