school,学校,/skˈuːl/,I walk to school every day.,我每天步行去学校。,
wake up,醒来,/wˈe‍ɪk ˈʌp/,We talked about wake up in class today.,我们今天在课堂上谈到了醒来。,
get up,起床,/ɡɛt ˈʌp/,We talked about get up in class today.,我们今天在课堂上谈到了起床。,
eat breakfast,吃早饭,/ˈiːt bɹˈɛkfəst/,I often eat breakfast with my friends.,我经常和朋友一起吃早饭。,
do homework,做作业,/dˈuː hˈə‍ʊmwɜːk/,We talked about do homework in class today.,我们今天在课堂上谈到了做作业。,
housework,家务,/hˈa‍ʊswɜːk/,I help my mum with housework.,我帮妈妈做家务。,
walk the dog,遛狗,/wˈɔːk ðə dˈɒɡ/,I often walk the dog with my friends.,我经常和朋友一起遛狗。,
feed the fish,喂鱼,/fˈiːd ðə fˈɪʃ/,I often feed the fish with my friends.,我经常和朋友一起喂鱼。,
take out the rubbish,倒垃圾,/tˈe‍ɪk ˈa‍ʊt ðə ɹˈʌbɪʃ/,I often take out the rubbish with my friends.,我经常和朋友一起倒垃圾。,
sweep the floor,扫地,/swˈiːp ðə flˈɔː/,I often sweep the floor with my friends.,我经常和朋友一起扫地。,
make models,做模型,/mˌe‍ɪk mˈɒdə‍lz/,I often make models with my friends.,我经常和朋友一起做模型。,
play sports,做运动,/plˈe‍ɪ spˈɔːts/,I often play sports with my friends.,我经常和朋友一起做运动。,
roller skating,轮滑,/ɹˈə‍ʊlə skˈe‍ɪtɪŋ/,We talked about roller skating in class today.,我们今天在课堂上谈到了轮滑。,
the piano,钢琴,/ðə pɪˈanə‍ʊ/,I want to learn more about the piano.,我想更多地了解钢琴。,
visit grandparents,看望祖父母/外祖父母,/vˈɪzɪt ɡɹˈandpe‍əɹənts/,I often visit grandparents with my friends.,我经常和朋友一起看望祖父母/外祖父母。,
climb a hill,爬山,/klˈa‍ɪm ɐ hˈɪl/,I often climb a hill with my friends.,我经常和朋友一起爬山。,
go for a picnic,去野餐,/ɡˌə‍ʊ fəɹə pˈɪknɪk/,I often go for a picnic with my friends.,我经常和朋友一起去野餐。,
square,广场,/skwˈe‍ə/,People dance in the square every evening.,人们每天晚上在广场上跳舞。,
by bus,乘公共汽车,/ba‍ɪ bˈʌs/,We talked about by bus in class today.,我们今天在课堂上谈到了乘公共汽车。,
subway,地铁,/sˈʌbwe‍ɪ/,I take the subway to school.,我乘地铁去学校。,
twice,两次,/twˈa‍ɪs/,I brush my teeth twice a day.,我一天刷两次牙。,
on the weekend,在周末,/ɒnðə wiːkˈɛnd/,We talked about on the weekend in class today.,我们今天在课堂上谈到了在周末。,
sandwich,三明治,/sˈandwɪt‍ʃ/,I had a sandwich for lunch.,我午饭吃了一个三明治。,
sausage,香肠,/sˈɒsɪd‍ʒ/,Would you like a sausage?,你想要一根香肠吗？,
chicken,鸡肉,/t‍ʃˈɪkɪn/,We had chicken for dinner.,我们晚饭吃了鸡肉。,
French fries,炸薯条,/fɹˈɛnt‍ʃ fɹˈa‍ɪz/,I want to learn more about French fries.,我想更多地了解炸薯条。,
peanut,花生,/pˈiːnʌt/,I like eating peanuts as a snack.,我喜欢吃花生当零食。,
dumpling,饺子,/dˈʌmplɪŋ/,We eat dumplings on New Year's Eve.,我们在除夕吃饺子。,
noodles,面条,/nˈuːdə‍lz/,I like eating noodles for breakfast.,我喜欢早饭吃面条。,
hamburger,汉堡包,/hˈambɜːɡə/,He bought a hamburger for lunch.,他午饭买了一个汉堡包。,
cold drink,冷饮,/kˈə‍ʊld dɹˈɪŋk/,I want a cold drink on this hot day.,这么热的天我想喝一杯冷饮。,
cola,可乐,/kˈə‍ʊlə/,Can I have a glass of cola?,我能喝一杯可乐吗？,
coffee,咖啡,/kˈɒfi/,Adults often drink coffee in the morning.,大人们早上经常喝咖啡。,
first,首先；第一,/fˈɜːst/,"First, wash your hands.",首先，洗手。,
next,接下来,/nˈɛkst/,"Next, open your book.",接下来，打开你的书。,
then,然后,/ðˈɛn/,"Then, read the story.",然后，读故事。,
last,最后,/lˈast/,"Last, answer the questions.",最后，回答问题。,
cold,感冒；寒冷的,/kˈə‍ʊld/,I have a cold today.,我今天感冒了。,
headache,头痛,/hˈɛde‍ɪk/,I have a headache and need to rest.,我头痛，需要休息。,
stomachache,胃痛,/stˈʌməkˌe‍ɪk/,He has a stomachache from eating too much.,他吃太多了，胃痛。,
toothache,牙痛,/tˈuːθe‍ɪk/,"I have a toothache, I need to see a dentist.",我牙痛，需要去看牙医。,
see the doctor,看医生,/sˈiː ðə dˈɒktə/,I often see the doctor with my friends.,我经常和朋友一起看医生。,
wear a sweater,穿毛衣,/wˈe‍əɹ ɐ swˈɛtə/,I often wear a sweater with my friends.,我经常和朋友一起穿毛衣。,
get enough sleep,获得充足睡眠,/ɡɛt ɪnˈʌf slˈiːp/,We talked about get enough sleep in class today.,我们今天在课堂上谈到了获得充足睡眠。,
dirty hands,脏手,/dˈɜːti hˈandz/,We talked about dirty hands in class today.,我们今天在课堂上谈到了脏手。,
