fantastic business idea,很棒的商业想法,/fantˈastɪk bˈɪznəs aɪdˈɪə/,She had a fantastic business idea.,她有一个很棒的商业想法。,phrase. fantastic 极好的 + business idea 商业点子
instruction,说明,/ɪnstɹˈʌkʃən/,Read the instruction before you start.,开始前请阅读说明。,n. 指示；说明(常用复数 instructions)
add to,往...里加,/ˈad tuː/,You can add to the list if you want.,如果你愿意可以往清单里加。,phrase. 增添到…。add sth. to sth.
in the center of,在...中心,/ɪnðə sˈɛntəɹ ɒv/,The fountain is in the center of the square.,喷泉在广场的中心。,phrase. 在…的中央
become popular,变得流行,/bɪkˌʌm pˈɒpjʊlə/,This song has become popular around the world.,这首歌在全世界变得流行。,phrase. 变得受欢迎。become-became-become
jewelry,首饰,/dʒˈuːəlɹi/,The shop sells beautiful jewelry.,这家商店出售漂亮的首饰。,n. 珠宝(总称，不可数)。a piece of jewelry 一件珠宝
suddenly,突然,/sˈʌdənli/,Suddenly the sky turned dark.,天空突然变暗了。,adv. 突然地。sudden adj. 突然的
agree on a price,对价格达成共识,/ɐɡɹˈiː ˌɒn ɐ pɹˈaɪs/,We need to agree on a price before we sell it.,我们卖掉它之前需要对价格达成共识。,phrase. 就价格达成一致
especially,特别是,/ɪspˈɛʃəli/,"I love fruit, especially apples.",我喜欢水果，特别是苹果。,adv. 特别；尤其
sell,卖,/sˈɛl/,They sell ice cream in the shop.,他们在店里卖冰激凌。,v. 卖；出售。sell-sold-sold
a few hours,几小时,/ɐ fjˈuː ˈaʊəz/,The trip takes a few hours by train.,坐火车这趟行程要几小时。,phrase. 几个小时。a few + 可数名词复数
think,认为,/θˈɪŋk/,I think this is a good plan.,我认为这是个好计划。,v. 认为；想。think-thought-thought
enjoy,喜欢,/ɛndʒˈɔɪ/,The children enjoy playing football.,孩子们喜欢踢足球。,v. 享受；喜欢。enjoy doing sth.
special,特别的,/spˈɛʃəl/,Today is a special day for our family.,今天对我们家来说是特别的一天。,adj. 特别的；特殊的
customers,顾客（复数）,/kˈʌstəməz/,The shop was full of customers.,店里挤满了顾客。,n. customer的复数形式
get interested in,对...感兴趣,/ɡɛt ˈɪntɹəstɪd ˈɪn/,Many students get interested in science after this class.,上完这节课后许多学生对科学产生了兴趣。,phrase. 开始对…感兴趣
ask for help,寻求帮助,/ˈask fɔː hˈɛlp/,Don't be afraid to ask for help.,不要害怕寻求帮助。,phrase. 请求帮助
find,发现,/fˈaɪnd/,I can't find my keys.,我找不到我的钥匙。,v. 发现；找到。find-found-found
business owner,公司老板,/bˈɪznəs ˈəʊnə/,The business owner opened a new shop.,这位公司老板开了一家新店。,n. 企业主；老板
all over,遍布,/ˈɔːl ˈəʊvə/,The news spread all over the town.,这消息传遍了全城。,phrase. 遍及；到处
continue,继续,/kəntˈɪnjuː/,Please continue with your work.,请继续你的工作。,v. 继续。continue to do / doing
off school,不上学,/ˈɒf skˈuːl/,The children are off school during the holidays.,假期里孩子们不上学。,phrase. 放假；不上学
a big success,很大的成功,/ɐ bˈɪɡ səksˈɛs/,The concert was a big success.,这场音乐会取得了很大的成功。,phrase. 巨大的成功。success n. 成功
advice,建议,/ɐdvˈaɪs/,My teacher gave me some useful advice.,老师给了我一些有用的建议。,n. 建议(不可数)。a piece of advice 一条建议
partner,搭档,/pˈɑːtnə/,Choose a partner and practise the dialogue.,选一个搭档练习对话。,n. 伙伴；搭档
good,好的,/ɡˈʊd/,This is a good book.,这是一本好书。,adj. 好的。比较级better，最高级best
thousands of,数以千计的,/θˈaʊzəndz ɒv/,Thousands of tourists visit the city every year.,每年有数以千计的游客参观这座城市。,phrase. 成千上万的。thousands of + 复数名词
decide to,决定,/dɪsˈaɪd tuː/,We decide to go to the park.,我们决定去公园。,phrase. 决定做某事。decide to do sth.
collect,收集,/kəlˈɛkt/,He likes to collect stamps.,他喜欢收集邮票。,v. 收集。被动 be collected 被收集
build,建造,/bˈɪld/,They will build a new library here.,他们将在这里建一座新图书馆。,v. 建造。build-built-built
explore,探索,/ɛksplˈɔː/,We want to explore the old town.,我们想探索这座老城。,v. 探索；勘探
follow,跟随,/fˈɒləʊ/,Please follow me to the classroom.,请跟我去教室。,v. 跟随；遵循
dress,连衣裙,/dɹˈɛs/,She wore a red dress to the party.,她穿了一条红色连衣裙去参加聚会。,n. 连衣裙；v. 穿衣
math,数学,/mˈaθ/,Math is my favourite subject.,数学是我最喜欢的科目。,n. 数学(美式)。英式用 maths
garden,花园,/ɡˈɑːdən/,There are many flowers in the garden.,花园里有很多花。,n. 花园
geography,地理,/dʒiˈɒɡɹəfi/,We study geography at school.,我们在学校学地理。,n. 地理
floor,楼层,/flˈɔː/,My classroom is on the second floor.,我的教室在二楼。,n. 地板；楼层
history,历史,/hˈɪstəɹi/,I like reading about history.,我喜欢读历史。,n. 历史
