Australia,澳大利亚,/ɒstɹˈe‍ɪli‍ə/,I want to learn more about Australia.,我想更多地了解澳大利亚。,n. 澳大利亚。Australian adj./n.
by plane,乘飞机,/ba‍ɪ plˈe‍ɪn/,We talked about by plane in class today.,我们今天在课堂上谈到了乘飞机。,
the USA,美国,/ðə jˌuːˌɛsˈe‍ɪ/,I want to learn more about the USA.,我想更多地了解美国。,n. 美国。= the United States of America
the UK,英国,/ðə jˌuːkˈe‍ɪ/,I want to learn more about the UK.,我想更多地了解英国。,n. 英国。= the United Kingdom
Canada,加拿大,/kˈanədə/,I want to learn more about Canada.,我想更多地了解加拿大。,n. 加拿大。Canadian adj./n. 加拿大的/人
China,中国,/t‍ʃˈa‍ɪnə/,I want to learn more about China.,我想更多地了解中国。,
Washington D.C.,华盛顿特区,/wˈɒʃɪŋtən dˌiːsˈiː/,Washington D.C. is the capital of the USA.,华盛顿特区是美国的首都。,n. 华盛顿特区(美国首都)
Toronto,多伦多,/təɹˈɒntə‍ʊ/,I want to learn more about Toronto.,我想更多地了解多伦多。,n. 多伦多(加拿大城市)
Disneyland,迪士尼乐园,/dɪsnˈɪland/,I want to learn more about Disneyland.,我想更多地了解迪士尼乐园。,
the Great Wall,长城,/ðə ɡɹˈe‍ɪt wˈɔːl/,The Great Wall is very long and old.,长城又长又古老。,
the Summer Palace,颐和园,/ðə sˈʌmə pˈalɪs/,I want to learn more about the Summer Palace.,我想更多地了解颐和园。,
kangaroo,袋鼠,/kˈaŋɡɐɹˌuː/,Kangaroos live in Australia.,袋鼠生活在澳大利亚。,n. 袋鼠(澳大利亚代表动物)
visit,参观；拜访,/vˈɪzɪt/,I want to visit my grandma this weekend.,我这个周末想去看望奶奶。,v. 参观；拜访。visitor n. 访客
make friends,交朋友,/mˌe‍ɪk fɹˈɛndz/,I often make friends with my friends.,我经常和朋友一起交朋友。,
Beijing Opera,京剧,/be‍ɪd‍ʒˈɪŋ ˈɒpəɹə/,I want to learn more about Beijing Opera.,我想更多地了解京剧。,n. 京剧。传统中国戏曲艺术
Peking Opera,京剧,/piːkˈɪŋ ˈɒpəɹə/,I want to learn more about Peking Opera.,我想更多地了解京剧。,
Beijing duck,北京烤鸭,/be‍ɪd‍ʒˈɪŋ dˈʌk/,I want to learn more about Beijing duck.,我想更多地了解北京烤鸭。,
vacation,假期,/ve‍ɪkˈe‍ɪʃən/,Where did you go on vacation?,你假期去了哪里？,n. 假期。on vacation 在度假
jigsaw puzzles,拼图,/d‍ʒˈɪɡsɔː pˈʌzə‍lz/,I like doing jigsaw puzzles.,我喜欢拼拼图。,
crayon,蜡笔,/kɹˈe‍ɪɒn/,She drew a picture with crayons.,她用蜡笔画了一幅画。,
glue stick,胶棒,/ɡlˈuː stˈɪk/,I need a glue stick for my project.,我的手工项目需要胶棒。,
knife,小刀,/nˈa‍ɪf/,Be careful with the knife.,小心刀子。,n. 小刀；刀。复数 knives
exercise book,练习本,/ˈɛksəsˌa‍ɪz bˈʊk/,Write the answers in your exercise book.,把答案写在练习本上。,
pencil sharpener,卷笔刀,/pˈɛnsə‍l ʃˈɑːpənə/,Can I borrow your pencil sharpener?,我能借你的卷笔刀吗？,
vegetable,蔬菜,/vˈɛd‍ʒɪtəbə‍l/,We should eat more vegetables.,我们应该多吃蔬菜。,n. 蔬菜。常用复数 vegetables
potato,土豆,/pətˈe‍ɪtə‍ʊ/,I like baked potatoes.,我喜欢烤土豆。,
sausage,香肠,/sˈɒsɪd‍ʒ/,Would you like a sausage?,你想要一根香肠吗？,n. 香肠
French fries,炸薯条,/fɹˈɛnt‍ʃ fɹˈa‍ɪz/,I want to learn more about French fries.,我想更多地了解炸薯条。,n. 炸薯条(美式)。英式用 chips
peanut,花生,/pˈiːnʌt/,I like eating peanuts as a snack.,我喜欢吃花生当零食。,
dumpling,饺子,/dˈʌmplɪŋ/,We eat dumplings on New Year's Eve.,我们在除夕吃饺子。,n. 饺子
hot pot,火锅,/hˈɒt pˈɒt/,Hot pot is popular in Sichuan.,火锅在四川很流行。,
noodles,面条,/nˈuːdə‍lz/,I like eating noodles for breakfast.,我喜欢早饭吃面条。,
juice,果汁,/d‍ʒˈuːs/,I'd like a glass of orange juice.,我想要一杯橙汁。,
coffee,咖啡,/kˈɒfi/,Adults often drink coffee in the morning.,大人们早上经常喝咖啡。,
shopping list,购物清单,/ʃˈɒpɪŋ lˈɪst/,Mum wrote a shopping list.,妈妈写了一份购物清单。,
chicken,鸡肉,/t‍ʃˈɪkɪn/,We had chicken for dinner.,我们晚饭吃了鸡肉。,
tomatoes,西红柿（复数）,/təmˈɑːtə‍ʊz/,Please buy some tomatoes.,请买些西红柿。,
glasses,眼镜,/ɡlˈasɪz/,My father wears glasses.,我的父亲戴眼镜。,
bread,面包,/bɹˈɛd/,I eat bread for breakfast.,我早饭吃面包。,
southwest,西南,/sa‍ʊθwˈɛst/,Yunnan is in the southwest of China.,云南在中国的西南。,n./adj. 西南(方向)。south + west
the Stone Forest,石林,/ðə stˈə‍ʊn fˈɒɹɪst/,I want to learn more about the Stone Forest.,我想更多地了解石林。,n. 石林(云南)
the Potala Palace,布达拉宫,/ðə pə‍ʊtˈɑːlə pˈalɪs/,I want to learn more about the Potala Palace.,我想更多地了解布达拉宫。,n. 布达拉宫(西藏拉萨)
the Terracotta Army,兵马俑,/ðə tˈɛɹɐkˌɒtəɹ ˈɑːmi/,I want to learn more about the Terracotta Army.,我想更多地了解兵马俑。,n. 兵马俑(西安)
